file,product,model,colour,code,lighting,angle
headphones_ORB1-GRA-ST-GUN-NAP_neon_high.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,neon,high
headphones_ORB1-GRA-ST-GUN-NAP_neon_profile.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,neon,profile
headphones_ORB1-GRA-ST-GUN-NAP_showroom_front.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,showroom,front
headphones_ORB1-GRA-ST-GUN-NAP_showroom_hero.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,showroom,hero
headphones_ORB1-GRA-ST-GUN-NAP_showroom_high.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,showroom,high
headphones_ORB1-GRA-ST-GUN-NAP_showroom_profile.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,showroom,profile
headphones_ORB1-GRA-ST-GUN-NAP_studio_front.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,studio,front
headphones_ORB1-GRA-ST-GUN-NAP_studio_hero.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,studio,hero
headphones_ORB1-GRA-ST-GUN-NAP_studio_high.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,studio,high
headphones_ORB1-GRA-ST-GUN-NAP_studio_profile.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,studio,profile
headphones_ORB1-GRA-ST-GUN-NAP_sunset_front.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,sunset,front
headphones_ORB1-GRA-ST-GUN-NAP_sunset_hero.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,sunset,hero
headphones_ORB1-GRA-ST-GUN-NAP_sunset_high.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,sunset,high
headphones_ORB1-GRA-ST-GUN-NAP_sunset_profile.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,sunset,profile
headphones_ORB1-GRA-ST-GUN-NAP_white_front.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,white,front
headphones_ORB1-GRA-ST-GUN-NAP_white_hero.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,white,hero
headphones_ORB1-GRA-ST-GUN-NAP_white_high.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,white,high
headphones_ORB1-GRA-ST-GUN-NAP_white_profile.png,headphones,ORBIT ONE,Graphite,ORB1-GRA-ST-GUN-NAP,white,profile
headphones_ORB1-IVO-GL-BLK-SUE_neon_front.png,headphones,ORBIT ONE,Ivory,ORB1-IVO-GL-BLK-SUE,neon,front
